A mu sigma m b NIV_flux
2.0429774789576074 1493.1096673969669 12.113696978919382 -0.001535662758248229 5.54426831759121 62.034061894734755
2.180447118034471 1486.7464690818513 14.799143506224173 -0.00030225211122131713 5.249233989139071 80.88576065453594
2.0640570054315854 1494.4056810974428 14.203308002518916 -0.0003099216165336467 5.36815965246971 73.48541085543056
3.996214962840977 1495.3889035474963 7.2344731315944655 -0.000385235751175674 5.329516324018046 72.46790124039457
5.504841281174973 1496.0355065340352 5.762296885059525 -0.0025446405395538963 5.9444350958586325 79.51157680089231
2.6755423990801916 1492.5221834838426 13.113331694441552 0.0004611737292303849 5.175571082291752 87.94574219201877
1.8130808550787092 1496.099435587753 21.246897932961424 -0.001428462207218848 5.572507106503722 96.56119635477326
2.285230258977602 1495.2812498427022 11.36666333559986 -0.0012845253443977537 5.669204449613783 65.11077986516366
2.5827254069696353 1496.2599338199298 10.250095604910229 -0.0032363863246819167 5.723406271146395 66.35842737959736
12.785223437315471 1495.8547188573384 3.8657058697096023 -0.002345920572063679 5.638540656331939 123.88737848855416
2.5350928562946584 1495.4710153865958 7.9971033438352395 -0.0016448362889051845 5.369329173458528 50.81787655499157
1.7230583530074746 1493.48245013258 18.14703398349541 -0.0018117501231044537 5.624062169902832 78.37825175137786
2.7612484640389705 1493.213828720456 8.249700447875206 -0.0023878641401659027 5.708458536322194 57.099670327134405
2.5613653837199752 1494.239528504274 11.125251152426682 -0.003116471879709566 5.711046814832952 71.42846117574388
2.963796659401204 1493.1515962131803 15.82584310956577 -0.00012361208941068713 5.210968745389568 117.57234879477103
2.640657068593735 1496.1240140393638 7.588209756146055 -0.0017090903626275412 5.509522880850676 50.227465763659026
2.7528109429129506 1496.2215157426526 9.841467228515782 -0.0031488923222393016 5.778557788838539 67.9088179215214
1.9664141549475052 1495.3350564042305 15.369174061185035 -0.001025936084058141 5.545403433255028 75.75572434527486
7.397361896636891 1496.0887568453838 4.007359863453823 -0.0023226203549554063 5.664384828783597 74.30621575180345
7.433041630047142 1496.1071218893924 4.8375663843325425 -0.0012030083922351176 5.632529134662147 90.13291919492242
3.8971772429916536 1495.2434221218707 6.110591607696943 -0.00180011397227431 5.790610228808743 59.69299250701026
1.5959744214904559 1493.0639136337863 18.458033189269024 -0.0017721667660902693 5.692598514546872 73.84163145468767
2.9369016721677013 1491.3223810403579 59.864329875543305 0.004106201542669927 4.130089407241213 440.70448070274426
2.0482650280655093 1491.4398799885005 8.87946996361914 -0.0021002314253906426 5.945567235539758 45.58932128211169
2.510473085598457 1494.0469069321828 14.924225376725442 -0.001155632720606305 5.566328320081426 93.91550600747044
3.9009877454155726 1494.9831901292725 9.478580193198297 -0.0008064076016136312 5.214733884400875 92.68464886799835
2.959934781012308 1494.68704128821 8.390280788478822 -0.00420353670478424 5.713597699922199 62.251320926145304
4.456998018693621 1496.1164023269152 5.2842482107165205 -0.0022047818291041953 5.784011847643849 59.03581786756204
3.2202996760723055 1493.87191515981 10.859888502915984 0.0006877688709339526 5.124371245345705 87.66204322322338
9.906440664427269 1496.3488802738705 4.080666360650691 -0.0020697377674482424 5.651056305926736 101.33014513386048
3.5983137942387096 1494.3095217831753 8.111016402139322 -0.0025150535576951493 5.819708432748852 73.15840821821686
8.538778597079311 1495.7120793296444 4.242480393791564 -0.00403548938439776 5.6620265042306075 90.80411519326623
1.5111069505866688 1490.3670439746022 12.838110172207218 -0.0013385224658738868 5.664329273489885 48.62798070462444
