Amp_5007 mu_5007 sigma_oiii Amp_hb sigma_hb slope y-int Hbeta_Flux OIII4960_Flux OIII5007_Flux
6.651581852754968 4991.167044437278 28.144292148468605 -4.2498290215644845 3.3725780335230393 -0.002461653059843434 -0.2817026595851576 -35.92720227581478 156.41699907483294 469.2509972244988
5.931015753224386 4991.384508774079 42.86218438037582 -2.2021141728903255 17.588488917839037 -0.0007275121085625506 -0.503804250978805 -97.08637722410398 212.40858077833045 637.2257423349913
7.45650695446206 4987.97817840887 24.123850628576985 0.015876042584007877 42.64117811954053 0.0011946029412214301 -0.5470609171332905 1.6969200631652557 150.2971472459505 450.8914417378515
6.650823196530535 4991.893237549936 31.856286829873813 -0.9422766903975303 33.42717847018437 -0.0013300791400964298 -0.4837937612770671 -78.95290282724265 177.0268881923318 531.0806645769953
5.920540720411663 4987.977516192205 45.7636836801684 2.437158490004993 6.040347781583055 -0.0006066612909549458 -0.9084010662578204 36.90078891526559 226.3867615734942 679.1602847204827
5.217902779345942 4989.733919605481 45.88594252242334 -1.7231937297508026 52.7346702039366 -0.0015014153858486884 -0.42222577152108 -227.78245751355487 200.0526548850942 600.1579646552826
5.787569042323892 4986.601671308258 39.790212788418074 7.509900687697036 2.774399908383708 -0.0020554083815134956 -0.6043245503518646 52.22677265230416 192.41597513805962 577.2479254141789
5.803906448879198 4989.761578009541 30.815324288258527 -1.2206246227595303 28.08667906054519 -0.00036596746472763466 -0.1751962965634753 -85.93546915696342 149.4362034703046 448.30861041091384
6.6238609981791345 4989.363574989821 31.93469496406921 -0.34869830555750436 40.2496413610109 0.0006120007259930956 -0.16856211582855973 -35.18048206813063 176.74317886152534 530.2295365845761
4.488765615911145 4982.82499439092 35.297586416330866 -1.0742526126122542 26.288501950447166 0.00011011481908670116 0.05712572676418903 -70.78841549086606 132.38556053008185 397.15668159024557
5.655005311052258 4985.40160037063 34.38087492634074 -3.1282944185480117 6.4524017388336485 0.0004911269255557427 -0.2117917013595883 -50.596322669815216 162.44959054514732 487.34877163544195
6.311195023217694 5000.105578261203 37.461921544306556 -0.12854908471315118 57.45952081149021 -0.0031751568725062857 -0.817013051165006 -18.51488090192107 197.5469505452383 592.6408516357149
5.712241572724693 4985.902630828693 32.84763991067442 -0.1714940656267041 26.621766002991105 -0.0005923929181850575 -0.2596322113135342 -11.443948436404739 156.7759410165302 470.3278230495906
