A mu sigma m b halpha_flux
4.997539525442625 6572.753504576828 20.554057716235885 0.002125429014376752 -0.04885735000433633 257.4801440994343
3.0135864962182035 6556.6307417314865 40.6136871972157 -0.0008225752101783997 -0.44636761709316625 306.79340173220663
2.604700982077379 6567.138275427748 28.13396713487146 -0.0011690655424336485 0.19992891088033216 183.68715332001005
3.5675608307745947 6568.22810613744 27.53410695870171 0.0008038143655160385 0.10849012141420905 246.2250965161667
4.896068704831311 6563.7006210443715 27.418947860387203 -0.0015455085556108617 -0.32159869329698204 336.50244442268723
7.203343205528801 6565.227726945349 15.998407360841185 -0.0006910792285484836 -0.45196742036618825 288.86890315570434
5.614201672288971 6564.047395863655 24.210423235927507 0.00010537642022760479 0.014210032924055649 340.7064262058092
2.9636950108687063 6569.34586045706 24.47754187929818 0.0009355419664934793 0.03629069374292579 181.8407632126858
3.885134464719591 6573.11345373469 32.17376344447392 -0.0013172454313846998 -0.6623190660926087 313.3270233781218
4.989166395951934 6565.923944429681 25.95989193843506 -0.0003054916414908369 -0.2902116607292321 324.6540335896636
4.806596435779815 6568.009543916208 25.370915647785672 -0.001151066532085209 -0.14003985356182194 305.67768500848774
4.970493150061914 6568.1005837421 25.233772241247326 0.0018616724598170004 0.1991093052468112 314.39207684162994
4.2047317037746765 6559.784635084016 26.63128383219065 0.00013364531741965322 -0.1306996463223691 280.6857255860611
5.055662789129402 6566.250604186564 27.25780267935497 -0.0007376781130232014 -0.22521281146278693 345.4290645272797
4.280808929137848 6570.51933918535 29.500605328129836 -0.0007827913630455127 -0.4218546219042365 316.55319806302543
1.4011203052044872 6559.289412828923 24.36640597702299 9.822784237122631e-05 0.40927553074486545 85.57695650836882
4.374884612173946 6572.418540129497 26.180520895112956 -0.002291791575220212 -0.09947029426964993 287.10107609420686
4.131970753473293 6573.93501867008 27.147334225998748 0.0011660492246304808 -0.2931754982816942 281.17348440410757
2.5034524196786205 6571.03512788957 29.19067968541156 3.964498391223351e-05 -0.09763040640268107 183.17807181774128
3.1132315786535356 6562.8696340617425 36.00201859546602 0.0020167810588275865 -0.2413144672580511 280.94946736127923
4.531747188457609 6567.773562768767 16.678939628376053 0.0003844241816438872 -0.12228328421878862 189.46284081820255
4.283030896008357 6561.0734809307205 31.246651916940046 0.0015741307811179114 0.13192898863522967 335.46300337584466
6.724504184326659 6557.666634381097 26.200664491406442 -0.0014912098849781564 -0.7712247079061272 441.63400737398706
