A mu sigma m b NeIII_flux
8.648241431872844 3870.010906816423 3.651791393198491 0.004109763599444075 0.9520102420280232 79.16326541131994
8.347776159430742 3869.872691971947 3.1007914888298678 0.000443019874222253 1.1236211950150463 64.88335415281986
7.848813392637274 3869.01532909596 3.679766151554722 0.0064507371769123275 0.9755341899986611 72.39593111824078
9.698048407458028 3868.9071593908147 2.9822152663470916 -0.0030340806262896328 1.0830072680785066 72.49587079462276
7.974190968221986 3869.7524875879863 3.5941577114980854 -0.0018701642911281742 1.2857245222358389 71.84121956828947
11.633260069204683 3869.0756488185757 2.142281140032968 -0.02713599964031065 1.241960488491132 62.46947207069284
6.841112277064768 3869.9213711734774 4.623432886804329 -0.03877250162787582 0.971651593065825 79.28320721552808
14.945255705395784 3868.4827956559643 2.1643738858884856 -0.0035377624182328198 1.1546272191669522 81.08220851932636
7.676370731089779 3869.7786887978336 4.086127195093453 -0.013442659799559692 0.52706741290115 78.62447462916921
9.74415255732189 3869.8306291594113 3.7502621519722434 0.005081906744841692 0.6698910861302768 91.60003422549391
11.73357885890586 3868.7463046949074 2.2853491285699503 0.0002649890253656993 1.5920609056689028 67.21604988376909
10.475337891944983 3868.3040900175647 2.7147337334338952 0.013516236278475289 0.862072597076929 71.28287609868293
8.028050685788305 3869.4866052433704 3.1764902898728438 -0.010384510241532748 1.2655334685282347 63.92159042243744
9.309642241621765 3869.6867716006377 3.1537305402928086 -0.00044475449203496 1.2475219703997706 73.59486446776003
8.312095329490589 3869.607777019744 3.5641381946826014 -0.009390398547133808 1.0251011106891692 74.26000676556487
12.826711574826998 3873.7974211300816 21.396512473258003 -0.0552589564272176 -7.589719645095392 687.9363448905654
6.917085304224251 3869.852349451321 4.524055408207823 0.008896544407472033 0.7692713620562838 78.44061338427692
7.119452582023179 3869.7646191630633 3.6217057335119227 -0.02337284577713267 0.9516043376303783 64.63231274918789
8.285917513473864 3870.472643285845 4.503443062311696 0.023014466091572663 0.7522882814151635 93.53522946575819
13.324048550485259 3868.5054132908713 2.2166815539332023 0.012518735530170924 1.1617474561569756 74.03369884949659
6.665929713832732 3870.1860196758666 3.0419231344090383 0.004553420750342731 1.4205508701417586 50.827517676112386
12.678821268716568 3868.676423091936 2.04044138604974 0.011793667506067636 0.9157381277450634 64.84745516816385
7.2995794194649735 3870.046526444395 3.6185227215304314 -0.030498546685430478 1.443216959545505 66.20931218513951
8.043869889507073 3869.7352724911216 4.039554201762978 -0.01736643129705881 0.6495311158432254 81.44949785191106
6.443857716532644 3869.5139685993254 3.6245012985606673 0.00020674021742546648 1.2173558668601818 58.544235115443705
7.372464321631236 3870.1976107677965 4.639920892928559 0.014546560356330748 0.497100133172067 85.74586580265684
8.196417760256454 3869.4588013462144 3.425348902413417 0.02296016752554859 1.2610060187234247 70.37506917182462
7.885172561223281 3870.149185065508 3.379379383270736 0.028515890517145193 1.7186729792103668 66.79409753239673
18.145409963993888 3868.4724563252694 1.9073986958743254 -0.009936563495968019 1.2704554185729293 86.75573636015801
11.809829429988206 3868.605950837193 2.6511399423240514 0.024442730938834943 1.215395516516454 78.48130431893769
6.5583814854030855 3870.6069650515115 4.5560410285390285 0.004504721322663271 0.887067680084955 74.89869235780276
9.137542947758725 3871.044848379096 4.415680364767699 -0.03148241539891181 0.5333656703264472 101.13861317491696
9.0216777167618 3870.1778661005806 3.5677917671112334 0.006941546538763417 1.044425844662864 80.68201608264037
8.687212852491761 3870.2555661579713 3.6470413907374364 -0.01949839872760613 0.8030204898449801 79.41656324645079
8.36637685573895 3868.8861482953284 4.032510245528005 0.007608729074433721 0.7198549878808052 84.56737238972913
6.246396332224906 3870.4147758748604 3.87452565060104 -0.03718617723000833 1.0231053095670044 60.66497336073967
10.443977592766835 3869.1285455931647 2.015234006057973 -0.019306841309026695 1.862525742147155 52.757152694552126
8.13617809831722 3869.553103826799 3.170107785613417 -0.020660151252095058 1.144678107294322 64.65236401782036
6.716507719985618 3869.5125586448517 3.97050136386915 -0.01141223835580664 1.5889312705555128 66.8465198419335
15.335243781391252 3868.385608180476 2.129763261203581 -0.0020836456448913416 1.15970274451779 81.86757937600257
8.131264004601574 3869.7662695530585 3.986382181465117 0.006718222623445402 0.7280258185946205 81.25066590614495
