A mu sigma m b CIII_flux
3.6007193603842724 1909.2786978041217 9.82168724614995 -0.004533563766492662 3.4270668284790218 88.64725840356029
3.2701616300194045 1906.860148175428 9.158721603052562 -0.0025598478436921514 3.6444240939749073 75.07477005494337
4.596094419582323 1906.5536899034412 8.208936501249218 -0.006466841132481464 3.503512092744845 94.57269659694278
3.429605974205768 1907.2428917683324 7.033262114913351 -0.013199552793090734 3.798508031062629 60.463177137279175
3.5081438914750493 1905.779705493238 9.772798178464999 -0.0025620109528018396 3.9855144934742563 85.93820188199172
4.1267148298289404 1907.0727801893697 6.115511742569373 -0.004307491772207626 3.6016900322573555 63.25971008803464
4.669330564687237 1910.0626078537136 5.359916383221829 -0.006083377712538406 3.6564810715184373 62.73394077750319
4.1264841020537215 1904.5221847252908 7.943842002884255 0.004122232929441364 3.4501266459093154 82.167620090665
3.2243914570933665 1906.0555322548532 9.954581926084895 -0.0033576123278083337 3.49128202478578 80.45642314248147
3.5084026165025275 1906.6397117047509 10.612873960125327 -0.00303068464223447 3.405989889798136 93.33238565952088
5.056215308805053 1907.5890251273815 7.218456588987239 0.0016237628235300818 3.3674871351542004 91.48709601413034
3.5532222710844987 1907.1688688087138 7.722750354093571 -0.007230965242549664 3.6495315612208867 68.78350553513413
4.465631314131854 1906.5589342682028 7.64332338319635 -0.0014854118734469145 3.588161728072695 85.55689863128195
4.359537958425812 1907.0244222848862 9.082927380202287 -0.0039635248348711865 3.4633462555074654 99.25587894011242
4.137286377855832 1906.8755248374664 9.567806869159066 -0.001059471520778708 3.320517083322835 99.2242712050861
2.9116730799658193 1907.0926544805504 10.462329135544596 -0.0028951526816324478 3.4695237122138365 76.35912159286354
4.135031208650426 1906.454143446793 7.401403135005279 -0.0002410763465626178 3.4363774251277515 76.7154409411152
3.9875523903412398 1908.1130642482535 9.595480264887218 -0.0027831498177294887 3.602082078588464 95.9098148940791
4.239045655208427 1906.0754561020726 8.673912942079866 0.0027533908431583813 3.4765902687488204 92.1664982056581
3.1409506630652224 1905.3057637967106 10.049801553114746 -0.0008899031476099738 3.637892194244699 79.12405478849391
3.997822713285184 1907.5575097544024 11.71944728021199 -0.002811505255053192 3.299647317928134 117.44123103932482
3.572733915017822 1907.740966425382 9.862041239506274 -0.005530827657272381 3.33756908912718 88.31966662504175
4.340112751361131 1907.65246978675 9.321056695663748 -0.003920104647640397 3.3327544490699275 101.40423567114345
3.538189672103402 1905.0000840337057 9.321710905313347 -0.001623852489170886 3.59926252808326 82.67356675839288
4.646388236568367 1906.9025546316554 6.720472940338546 -0.00384179284344565 3.801984111186966 78.2717900512931
3.5549370341462008 1906.948308820922 8.637406397421866 -0.004948816268253263 3.385329587665515 76.96711376460071
3.2300854616479984 1906.6324474436792 7.37129927394584 -0.009467659250150359 3.8029196034514285 59.682635278141845
3.3150889036845754 1908.5587298800992 9.708332054071917 -0.0033427668583717977 3.6717097765962112 80.67328394812954
3.683759984004978 1907.873934762273 10.331758393556486 -0.00022659367044804645 3.411278471197655 95.40156560065188
3.9261877169324015 1907.0646206745448 9.53874022382336 0.005183072756252372 3.5121446005378254 93.87544650343811
3.5196799896442332 1905.8948538133368 12.570236755165151 -0.0018982390546304975 3.460285187557041 110.90128308216877
4.338551749899594 1906.6434414954429 9.110144515103194 -0.000965065869526731 3.2196197368634296 99.07406502030213
3.5500538858735995 1908.2971156934918 10.04400140810325 -0.0005185804401516853 3.4378749260478974 89.37820827784287
3.744932501908142 1906.8449043097296 8.1210229487068 -0.001994893274520917 3.615844031744434 76.23329058717832
4.578157110716929 1907.8941337669767 7.232363186341278 -0.005985214444852751 3.5832457446487727 82.99670547708824
3.9410169557608117 1905.788394010062 8.806329322267395 -0.0032035737385117226 3.3697817517912116 86.99477313396532
4.431293047857217 1906.7390836350187 7.255749731178667 -0.0027909417913802833 3.621405916427353 80.59399797988527
4.098775644995501 1907.4118296362226 7.657846398382399 -0.0024064098563413303 3.603066792345017 78.67753269776911
4.408169667690448 1908.4500533457538 6.492768376599811 -0.007881111763684865 3.530511531626741 71.74277087970505
3.816126881384886 1905.8583481827468 8.027813578813586 -0.002580356506216015 3.5070337915680456 76.7909462141509
3.8757748175765037 1906.5710589125797 11.660036525199978 -0.0036860546643891225 3.409501357523077 113.27873268012236
4.427026067460965 1907.1660759319504 6.934771816055301 -0.0047914147386869345 3.5442423332331545 76.95452978981915
6.004367131651693 1908.9116703820214 4.586288215992303 0.0017224904848044654 3.6759161784760295 69.02692337517097
3.1610483249191996 1906.6295882014606 8.82243780272184 -0.007068265627230165 3.6908755535855735 69.90523092697883
4.221929532964642 1906.8700170315626 6.9331727879247955 -0.0042620286083266375 3.6565626784633927 73.37243603518884
4.123877464441254 1907.6697334565818 10.783128969267324 -0.002303033369353779 3.327765280562172 111.46550450300545
4.147524091443269 1906.526687630187 10.436571280414455 0.0022695196292825907 3.3282252272659454 108.50173808107711
3.1775265898969423 1907.8454002768476 8.78710938451964 -0.0013557710966765604 3.5533090932498665 69.98825416435815
4.454056899857593 1906.343357826173 8.926995215647157 -0.005244512908483417 3.3448124467529605 99.66691070006264
4.234343320852079 1908.2902161901698 7.460029572575126 -0.00045876444584171897 3.644678927099152 79.18019208745424
4.094423532524215 1904.3660031546049 8.897745379032045 0.00521675534019982 3.3617689372335375 91.31932075401693
3.163292468174812 1904.892604313843 9.602141924344796 -0.0013151790694759505 3.634542670708167 76.13728782284367
3.960380992149305 1909.8923207491027 11.42352894376265 -0.009864055370447999 3.365996120657893 113.40369049532949
3.7676496197256335 1908.1789054217481 9.311846008911047 -0.005311844557320927 3.3372778085507844 87.94197756907235
4.990768375598596 1907.2625066618143 8.718481181948528 -0.004450304731790362 3.3420518206608607 109.06820937188367
3.7289721784756042 1903.3141393732853 10.687449500582215 0.00011967886745179964 3.461870494240815 99.89716258309869
3.856983177693669 1907.5403794757815 6.738991808633012 -0.0030256830360356236 3.8751210125849025 65.15272839559277
3.599117331458754 1904.1986973804683 9.584910669138965 -0.005901484200552647 3.504785122398849 86.47170231009208
3.8662375755675207 1907.4092863286746 8.745226284745318 -0.007808114717969467 3.5911148579937358 84.75191557761414
4.11570991971845 1908.562247404283 8.255029308556574 -0.007908877126744773 3.6537526102796507 85.16346269090714
3.6465446417931844 1907.3924199672351 9.8602496471181 0.0007037834655092921 3.55769530130786 90.12792647914216
3.2901302599521243 1907.758976390968 9.224545909722963 0.0006674471144435768 3.6884024340144217 76.07606193396623
2.899577886744466 1909.5795533873593 15.588172975411638 -0.00726831699617866 3.21408749132615 113.29739632703254
4.177658394839915 1906.9688465551958 10.21954479277029 0.0003623237869681108 3.141868872523943 107.01740375073568
2.777084133834964 1909.0866187946338 12.206652816284524 -0.0015342667336861876 3.5009218773030257 84.97194588957859
3.0411412386607273 1905.1373107456354 9.555109602470298 0.0021754060624934067 3.6227716907151373 72.83870193641971
4.482173892883941 1908.1084057346352 6.489823295135615 -0.006983207809857422 3.80462278652348 72.91409803347186
3.886487573701937 1907.9506020298484 8.797695051600751 -0.004428389563275417 3.4959249393700373 85.70696608256152
4.461652766975654 1907.3786529766305 7.6653256130512775 -0.004670049769329139 3.559968770441432 85.72674021120565
3.4988062896826744 1906.7344612087502 10.556632929349643 0.003455892046037599 3.2833930509093325 92.58385361890842
4.467714867059389 1908.4507715296277 5.97893662776811 -0.0073856058349442534 3.581583791890149 66.95751584466448
