A mu sigma m b NIII_flux
1.14517433412858 1737.032431605994 19.32695210194609 -0.004387800593886696 4.212868894274802 55.47852556968938
1.1366282416774 1744.7966853288985 24.763401692465926 -0.0040496709849869375 4.289962745445003 70.55351890838998
1.8583633930918437 1740.7221455903637 14.693946795817176 -0.004656814226363511 4.198505651901671 68.4477283227756
1.1224673884532042 1737.419308194033 21.68589893026254 -0.003648465569917226 4.134231511099665 61.015629413904826
2.6765514815117446 1739.266418182122 13.047778441976291 -0.004168836011191919 4.024236303184462 87.53910636939155
1.248892161142876 1742.5915964393564 12.121020732188512 -0.005402870362773094 4.397469426634825 37.94495725609271
2.010308429650154 1738.002102102704 4.091601098891431 -0.004507742732369769 4.622972099044086 20.617970528444737
0.7506982792835355 1740.773612633314 15.665275599874448 -0.004468397034443212 4.34857750834812 29.477686409910714
1.580155888177585 1742.4797483541493 13.066649340425016 -0.004407734451004043 4.349912918115503 51.755213494162895
1.413485692259607 1741.8217589027588 12.525063172710352 -0.004914718315134311 4.425284470083198 44.377340931272784
1.8270576865312882 1738.1958667221904 12.004129716809532 -0.004118466215993525 4.308432020505948 54.97596656625705
1.2356344097242355 1740.7965195092609 17.866631899805338 -0.004504184537187259 4.1478738744786625 55.337892837685004
1.4659036725998253 1740.3537817637462 13.857849230616292 -0.0052980554327494555 4.3650037142409905 50.92032877802273
1.5480665219020828 1740.8504181761073 11.493624306232698 -0.005554899479748523 4.440644040486816 44.60017370406297
1.6969470804193576 1737.8174355324159 22.52137410499191 -0.0038172566902548353 4.326306481954232 95.79726670244624
0.9308334053545073 1741.102534105401 14.577068116797884 -0.00449987926180046 4.208015414308675 34.01199276644747
1.2602083102270187 1737.6661601953338 12.837174238781973 -0.004476266726467665 4.304508098070255 40.55101314221882
2.154217638432327 1738.6460200375805 10.821321861087013 -0.0046628032290785895 4.478268386853906 58.43322096833148
1.3946335907486118 1738.1315560435476 22.100674844383484 -0.005130230019300151 4.373992274753078 77.26015774807148
2.1274530375883707 1744.2738844506039 12.200443838272324 -0.004892071429578547 4.342498871490377 65.06172090243449
1.689748155883319 1738.271209746588 14.463577117888743 -0.005686450423922044 4.3363701366054235 61.26150063070854
1.0592357710682565 1739.4896040170731 20.11725726718839 -0.004697448585087168 4.392772999170125 53.413537646966965
2.018600742915208 1738.6250082859092 15.892556752813235 -0.0038401627812545682 4.2723980624575235 80.41445703817081
0.6215767530701486 1739.0241358388284 27.637864838117423 -0.004176909413027553 4.301756409380893 43.0615032093925
1.1292382207916098 1741.1904491834816 18.40084934351081 -0.006078271764071771 4.411247185905679 52.08508447089628
0.9718158220027043 1738.9978040856506 13.879342419208207 -0.0056253745560470355 4.5115086866052705 33.809814663934496
1.0818880712758605 1737.029023369621 22.881668934204445 -0.004437665847840662 4.321870422544482 62.05259729775766
1.9701307499159257 1738.4646897730117 21.100059058975 -0.0034884204239447854 4.017542824972021 104.20022449187225
0.7305816922457851 1743.972186975598 29.975617803241093 -0.0045504986687062415 4.418434198180452 54.89425076421685
1.7010914346817405 1741.9830446317753 13.041822654770593 -0.004246791941636828 4.31188119629104 55.61038250532059
1.3341527891785083 1739.442608297775 22.100145333529813 -0.005405682207791849 4.329541909825463 73.90786082716066
1.946586128119308 1741.9409526253326 17.55757605703929 -0.0038192922558495128 4.273300673628506 85.66987174596207
0.9777595280139677 1737.1535477046946 23.40181154109913 -0.00381758360914888 4.1423231856851785 57.35502435107335
1.3585629164143058 1745.4244957753813 21.819229333202735 -0.0037856684906141637 4.245949793443365 74.30347018370836
1.319958721773331 1739.9949321238985 17.07808876504637 -0.00463388318368312 4.226727027767303 56.50534757549136
1.1575161123687185 1741.3981744988766 10.079441890082402 -0.004335719266080025 4.427937520126201 29.24512383023088
1.8036892132514595 1740.7637731405102 12.515109872569317 -0.005177385732853066 4.257103745434501 56.58304418648191
0.7758180574053887 1747.4638912531989 7.101946003010679 -0.00655419752581068 4.504768828846638 13.811065466185976
1.3866544329164534 1740.3320630343437 16.872403699039975 -0.0036759388639093366 4.439316619710596 58.6455598531384
0.8582732556711253 1739.1090778100784 16.399902449598052 -0.004516915484397581 4.330202197841475 35.28229109720313
2.391252500953617 1739.2232670675814 7.291387903820638 -0.004567668008904227 4.4635668395075685 43.7044415119141
1.4842218811326342 1743.3420080197338 13.989983757937015 -0.00434519746167472 4.416753156183909 52.04823111084244
1.47684461661997 1737.4505363443423 13.082101099236928 -0.004480579752458607 4.2672620898366 48.428636250450595
1.5867026526255446 1741.0815761884376 16.732139419499163 -0.00447885639257022 4.155428680638667 66.54829860175536
1.3803106569204981 1740.0360265483732 13.727309760236075 -0.0055334687843590835 4.311675268777993 47.495472111495395
1.2012325992977988 1737.9425065833468 15.867969358876847 -0.005454534883344894 4.492971536231722 47.77914754826525
1.654918964531786 1740.7555325201472 10.983574536697294 -0.004795049035744986 4.410514582468614 45.562796153965884
0.6558257318036049 1749.9831468660036 18.1892377828342 -0.005020391762854967 4.287345228488297 29.901493940109788
1.8282069271812544 1737.558982157259 14.192157503660843 -0.0041417829977898725 4.25603113130743 65.0374801932049
1.7249732866118497 1739.0028393599175 15.898371590057653 -0.004357738783767988 4.4548568374795146 68.74244130224238
1.0871920970100557 1737.681191676463 19.80231712793787 -0.004690017761463639 4.389116955739116 53.965006322011284
0.5243931482602731 1744.4393202749618 13.892790459278642 -0.0044392106291122925 4.410572907814026 18.26149918161256
1.6507393835464033 1738.518077141568 14.229947466857228 -0.005619471368854809 4.357601909873846 58.880534511661764
1.0009806440792892 1737.7523473228307 19.183844489075987 -0.004366257740027294 4.338521727737103 48.133923015804875
2.121806780539534 1738.9332106919926 15.9484331123073 -0.003527201477777567 4.297243541174729 84.82303124808962
1.469732383441146 1741.5824914873947 26.765067615883645 -0.0034063424558469163 3.997794929606502 98.60445621475127
0.833605471989281 1737.0520607764151 14.120846062772458 -0.005862713174532422 4.368414111012585 29.50605921037178
0.7421668237103456 1740.5007870716545 12.92936758448932 -0.004522903569727932 4.457574554771561 24.052972432774716
1.5404336903842752 1738.184339480383 26.371168818683614 -0.004413044215835462 4.28094481551666 101.82685290271789
1.2209082268082696 1737.6894468548971 22.31828454765058 -0.003887687947677018 4.150896863041116 68.30205408425448
1.0545095734683754 1741.756903164995 24.981916851706384 -0.004244493108971245 4.301475866919904 66.03378929204294
1.6152040149189595 1746.6534094493727 14.736184421004648 -0.0037040349591465687 4.125754233893652 59.66262642666604
0.8870069908945327 1738.8712757228157 31.383531901448087 -0.0059104288273585 4.402685892662715 69.77804450191354
1.591012981139985 1747.9817181512294 12.09838625699976 -0.004584881113096993 4.416533415863836 48.24930956519164
1.6196862334959403 1741.5479624229872 13.900258792912389 -0.0038129943837664436 4.113064352986221 56.43437388049341
1.6123207976764382 1742.6245962836026 19.591586197320225 -0.004147370010883434 4.346737795947679 79.17917813480419
1.3349288094671046 1742.2648845134902 20.60881297932155 -0.004267249895469146 4.142926877686572 68.96059787729916
1.5750571176955641 1738.6370409487001 10.266133043479869 -0.004685970856202406 4.489965302448305 40.531542320036635
2.0008175895226894 1741.971806379144 14.066686809553016 -0.004608850090686422 4.2683842441724416 70.54873794409534
1.4105850228194599 1749.9453146117435 6.258646673006545 -0.005599432243118627 4.452752103057216 22.129399900101863
0.6478378306311354 1737.3637467693688 7.544188890314739 -0.005783551405350851 4.671758754399463 12.250922513540285
1.3827703736856813 1738.5919489424602 14.274683689138737 -0.0036118394780934714 4.263877467828772 49.47735717360778
1.985687594135682 1737.8471659565018 13.036510210043796 -0.005070663523355223 4.428712861471468 64.88767389823681
1.4813028711143947 1740.4099539636113 15.180095461702217 -0.0045021482402613795 4.36454813944201 56.364842975739236
1.4062340564170699 1737.8522981291967 17.445760943484622 -0.0046516182101972985 4.215508453004613 61.49466823660028
1.617667821070849 1739.092875033663 14.231101226739717 -0.0036604097325397484 4.162393797427629 57.70557708181199
1.3425767150547285 1741.1269189050201 12.82455652218879 -0.0056199679693838865 4.369553801133995 43.1590027265811
0.5980609318145114 1738.1404071835882 22.03265903779784 -0.005316070690243167 4.5783885225699095 33.029521416576
1.4742453671496971 1737.771800596334 20.067556928352644 -0.004172305396604054 4.37605355748713 74.15735128868143
1.0605598139893526 1754.2712136424261 14.943034755403843 -0.004362336576139957 4.293003723923351 39.725000179676655
1.67095690524924 1737.305886373293 16.440243189372325 -0.004354544647129467 4.271393691588279 68.85942962379431
1.994758037140105 1738.0535641944211 15.600143420872405 -0.003658841648499702 4.25263261725206 78.00254071343551
1.6824009776387743 1737.0004732664374 14.495771235304169 -0.004894516329959683 4.410819142076557 61.13089761597546
1.1360642619530221 1741.0178571024749 11.840218268509965 -0.004998370040012928 4.423592030087519 33.717280642809385
