A mu sigma m b OII_flux
1.1929340997297557 3721.885473928343 11.221890564078048 -0.0002947452891789962 0.7463345009602925 33.55617234616933
1.1515496433389456 3723.5985389571056 17.48600459867027 -0.0005801479284352942 0.845086909807817 50.47347285116085
0.2602889365594372 3733.8484644319046 41.625405470729255 -0.0012715143240046016 0.7158782164883098 27.158396229472665
0.8760892546132342 3734.343022833446 68.03602191232909 -0.00034126410485318265 0.724947467467529 149.4091517801631
0.7219812456336605 3722.9670518403677 51.10323445208358 0.0008786706562998529 0.6657407330317437 92.48349618019529
0.9138572670539885 3722.847934837237 17.643840110461085 -0.0010370388509554883 1.0214235814976 40.41675273791212
1.3260853266999404 3725.87289111016 21.759903212099875 0.0006488630309943915 0.7846948571285297 72.32998300140291
0.8487154263145182 3721.8682124776415 64.58895551213456 -0.002169704500909611 0.39510768696388715 137.40745367357627
1.1840770762225117 3718.8010267060595 31.485949207229254 -0.0010315864775698141 0.6966755797696137 93.45159064582475
1.5235664161449316 3718.6896120161277 14.374685905515737 -0.0007288515443129272 0.7536588649770759 54.89713616275057
1.3021907662273722 3732.2451897797264 14.981063567005137 -0.0006774129866606901 0.7987979371033492 48.89981233773819
0.15466426863221794 3726.0717378037525 63.06082116185153 0.0011422474487837722 0.8517543493275517 24.447786718747174
1.1113941794926967 3723.714109353216 18.37624826833874 -0.0008251172167036836 0.9217436076742528 51.193509361288235
1.0439681522246773 3737.086466927115 29.41252903743028 0.0008984952001236228 0.9042629812350503 76.96788507992517
0.9823715360448776 3722.394767902907 35.37107536932659 -0.0012926194812128726 0.6559058004381254 87.09916032755427
0.9449313459190427 3732.192673340846 24.08604106647598 -0.0021943972567845167 0.6670578179343428 57.04999525220728
0.6011803568758887 3736.952957577151 68.05458097139513 -0.0013390432095662886 0.5953218544920444 102.55387630073679
0.4944444458853967 3719.092871086765 57.870848466176696 -0.0015371418088169814 0.7795710938413232 71.72445992433781
0.606272902885954 3718.9421110804483 23.048124589697377 -0.001260177748649458 0.769432633631588 35.026253389368215
1.4103997857626847 3719.133284320846 18.46135772747344 -0.0005394794383116666 0.7759510921289943 65.26732377805727
0.48403820828850386 3727.1602994701548 18.459781168702005 -0.00012713453241848646 0.9401357320214866 22.39732372639311
1.3086394124213232 3724.803316332001 23.438652048524226 0.00034918720790018745 0.6728850957932682 76.88516698171065
1.594589803937902 3721.166244426296 17.579556068218785 0.0004861259867777238 0.8791082250076734 70.26625715361425
0.668419134841125 3721.096285969507 44.35449950785907 -0.001794584470124941 0.7091738817651373 74.31500155240951
0.6262774595113648 3731.3717754467557 11.81560758075817 0.0002509865252483732 0.9140491589538751 18.548669975051045
1.559049154977507 3733.7626453226867 42.469229793238384 -0.002299187403513033 0.5296728371300581 165.96791083429142
1.2017427617469916 3732.4690154301543 27.09639176508808 -0.0003783573191030254 0.7320310196559808 81.62306747830593
0.06172898042356034 3730.157983565611 50.24631993645188 -0.0007546070290952335 0.7909535040546426 7.7746938644662364
0.8397467087442099 3719.406010367237 14.548572110280688 -0.002018569809762802 0.7234958425916681 30.62376726338113
1.2487359327868113 3726.036690875788 20.40398374298922 -0.0005553391603026476 0.6624149376128461 63.86685223293538
1.0080662883672953 3718.9662970219606 9.039443570377491 -0.0007977973015967914 0.817407074965269 22.841295035780128
1.603478346760188 3724.4871242274676 12.392444611282354 6.003947051823116e-05 0.669602453260366 49.80925204924674
