A mu sigma m b CIV_flux
10.680306397999829 1552.3007239058697 8.685977171286538 -0.0029192608364277356 5.382604581425264 232.5371416186423
9.785942514653863 1552.8397695143378 9.839216218266824 -0.00628515266956072 5.670454311991245 241.35322083265288
10.155942803700384 1551.8338519642498 10.72910577441499 -0.00429899282361834 5.436162992964255 273.1327059898634
12.527960485778605 1552.1690406380435 8.851889300534046 -0.004611573739434098 5.3613292744869705 277.97534838871564
10.524725830985927 1551.5908749035784 9.762985954947139 -0.003183927295223888 5.05347991354554 257.5629496181522
11.404045645636204 1552.0680720486503 8.920699574066639 -0.004683889110278143 5.309447892761143 255.00447090064318
10.968504559595461 1551.7660106512553 9.041732933899093 -0.006523861479610803 5.817373627561808 248.59307670353527
10.169417583180538 1552.612468222299 10.930048635532938 -0.0033637921856694967 5.193229094309802 278.61731944621414
9.440321642787406 1553.1095753877767 10.88021565307982 -0.00422031071300996 5.1671235435045375 257.4626464876318
10.267739783542098 1552.3319860812028 10.210112564418905 -0.00382071947961562 5.433044326203299 262.781821136225
10.908081764122104 1551.4253905589871 10.89687097836393 -0.004237909658941795 5.353158625049252 297.94776198069803
9.901866921374513 1551.5005062886175 9.345731579402003 -0.004287927695734887 5.643838372990364 231.96385775157245
11.587039544489906 1551.8398056014362 9.040671310102208 -0.004169674004761993 5.537582046935927 262.5808823107972
10.166881917429343 1552.037455352101 10.196961336866186 -0.003942791622426573 5.43034446330457 259.86541643115015
10.308010143987252 1551.0557922386918 9.658805531259038 -0.003173545503442424 5.459114430321941 249.56759482808826
10.40230393364339 1551.9233370120908 10.525896001387967 -0.0045977473043897574 5.330149352672956 274.4596768990797
9.052088568426125 1551.4713318540214 10.484876683597221 -0.0028995455669699874 5.2609056421494875 237.90417068214862
10.860955681852147 1552.2715211265358 10.420143491876383 -0.0035302915060352715 5.2022419559880415 283.68193150630776
9.830307462439006 1552.4583549957786 10.256647674696062 -0.004125389836366354 5.476924370989592 252.73330285954387
10.112964832557017 1553.1333827887095 10.392562211553324 -0.002978459645297798 5.187840441234448 263.44566953355763
11.724823044033128 1551.8596723318174 9.024278913743167 -0.004276457187467364 5.4888642123348355 265.22150837752656
11.183559326809318 1552.5789675664514 8.944136487398424 -0.004458180385765168 5.310801526682936 250.73121087403538
10.031036957805012 1551.7760049297437 10.168623136657855 -0.005046018338405428 5.574873650625619 255.68068240640596
9.937539479845775 1552.4255795293873 9.474058223892543 -0.004335539348675291 5.544393381978791 235.99611337147098
10.146570494687039 1551.7628170463336 10.849648721856209 -0.003687276184610123 5.364676485859264 275.94649904775997
11.030729413265954 1552.477994470404 10.674316475940287 -0.003775795150842464 5.372258458797416 295.144191282968
10.658735194327768 1551.7728616483018 9.790829783834493 -0.004427852251320103 5.5057010030607865 261.58636756580404
9.997874478371331 1551.5317260933714 9.824234993582426 -0.00454882053773382 5.508244762390083 246.2047096462818
10.18376954025762 1551.6675716564348 9.941876584870247 -0.003484235885070434 5.33261284639599 253.78553467966407
10.304039153969219 1553.1648781384902 11.258043999206802 -0.003099959983370958 5.087453434079036 290.77721731626843
9.232437723213204 1551.6030906265553 11.527118390291824 -0.005435599436629697 5.455964668624527 266.76391020622617
8.592485191171333 1552.1865070614283 11.315971615122805 -0.00397253978372891 5.484298194976061 243.7252788268482
11.0736690912844 1552.0565192602335 7.995569475397112 -0.004322619650973766 5.616652504282938 221.93759577909114
10.070014560136546 1552.4899752627362 10.075018134717777 -0.005634795999540327 5.561614984007547 254.31142371813493
9.828546516289515 1552.4801667921663 11.857998596716833 -0.0031609498085482784 5.311376777154032 292.1397317944158
11.807234793317978 1551.5818734916718 8.99508196462281 -0.00459992269820295 5.360435278761823 266.2215813138969
10.803595159373245 1551.3009098682573 9.119473606495983 -0.0034388938450972068 5.177742970603535 246.9607904482672
11.095430646948849 1551.2188109878084 8.84388325116125 -0.005389652095677496 5.4985292224932305 245.96714382900927
10.315339797933078 1551.6932487156826 9.010684640058386 -0.0048982763364375645 5.569171275144077 232.98677137126214
10.619033776150523 1552.225926689957 10.821531071172627 -0.003213037924803098 5.196204685133488 288.047192788924
10.404146147855865 1552.4481218281414 10.779167558834171 -0.0032214420665375994 5.412134314684909 281.11343455872696
10.074803041727863 1552.7650160699088 10.278509570237196 -0.003212994984143867 5.256880031274418 259.5712827892151
10.034918709898463 1550.810579166983 10.37916580052809 -0.0042273091540682576 5.565340210488404 261.075574592027
10.037395361185814 1551.3849899392774 8.35039258014156 -0.005581204079447973 5.714871176971257 210.09603610741362
10.722723917139188 1551.5771329314541 9.858556141720074 -0.00423111981625832 5.394638242441593 264.977118050538
10.696300534080324 1550.7759640997263 9.665448490673057 -0.004379449380028492 5.579897881218824 259.14661576828144
10.762470295737625 1551.435816036209 9.376338174790655 -0.003708805751532404 5.46666485702754 252.95027889105324
9.93745958686299 1551.315841709083 12.416291009226942 -0.0025633469339055503 5.011246041615303 309.28381418677003
9.691065950752646 1551.5556235501128 9.986977270881045 -0.004113331970282015 5.527058018227666 242.60265240221528
11.121560450406834 1550.9938333538003 9.958473222700329 -0.003720188803428217 5.507248092242369 277.61851120060356
10.586652037632383 1552.1963370560527 9.700887238739801 -0.0038973979196259565 5.5195253850068235 257.4305173909009
9.526665338911048 1553.4357921850865 10.488060694397031 -0.0030290606012372758 5.179475706639972 250.45288303151912
10.92085053070061 1551.867316140327 9.749209945635693 -0.004210166112310407 5.401518264369203 266.87987169866506
10.782105165129455 1551.5999011831268 9.075189526645076 -0.004209183553343008 5.342032521883719 245.272694013049
10.442927223370548 1551.8769629465562 9.786266570218745 -0.006043774293730928 5.718425813851657 256.17056552256935
9.087706562904282 1552.8135976170777 9.784277674786361 -0.004700599134272817 5.644538880620987 222.88097503468958
8.945522069391947 1552.1435915865688 12.292520479764585 -0.0037099071474893763 5.374107887213533 275.63639815147474
10.12856892618293 1552.708138359513 10.59324590530862 -0.0037889451610726814 5.268157240840709 268.9472301505853
9.917893775966366 1551.0233023054277 9.988360564774904 -0.005100227847639922 5.489336889897299 248.31536777151575
9.461399215724866 1551.5873671417032 9.395141539257377 -0.00321954898084519 5.298706401357635 222.81715716295543
9.85775640024886 1551.7063256293616 9.877839077958178 -0.003371260259643455 5.325761373420126 244.07874566062372
10.75451119039147 1552.3342438989607 9.976138316859403 -0.004035723118695251 5.202939008258291 268.93236549808495
9.863846807109896 1551.8529104187924 10.153173829171326 -0.005389326700453855 5.31570600705381 251.03719554650561
8.689521635485773 1552.647525112929 11.164246425350601 -0.004926304526531143 5.580980343251424 243.1729240614988
10.95628538823593 1552.289855451703 8.399506066455022 -0.004274982830133084 5.464773716659295 230.6784467459762
10.189092193216203 1552.7448436030834 10.589563299827939 -0.003903934305650625 5.328741409297285 270.4602696893246
10.142371606221179 1551.7659541327525 10.813241264053207 -0.004242597645327169 5.123160341774675 274.90671346590767
10.143084734403713 1551.5653845339725 10.836092384188587 -0.003191059801262195 5.364785980797013 275.5070310723999
10.826417855385433 1551.408641826928 8.47081998341337 -0.004996245982140194 5.345210646072803 229.87946182565835
10.888917726800335 1551.5571579010186 9.184517406508405 -0.005263732053415914 5.504452143935824 250.68652612904762
9.471649936138679 1551.9146312397456 9.698696114782399 -0.005348739748253166 5.591158269698837 230.26552699245377
10.12144680992315 1551.9775764374053 10.600861898542078 -0.002994201716383958 5.264237075243935 268.95133736506625
10.513428012006596 1552.50189712337 10.121587533351855 -0.0020322206303794686 5.2309666046381 266.7367865648165
9.500643707166741 1552.1248436562862 10.22424389836017 -0.004316911689051792 5.466696918875917 243.48609617348708
10.232666773103825 1550.913236421747 9.976322810012386 -0.004425821172159109 5.479449122312468 255.88761069157638
8.390261582811448 1552.719477010696 12.197936365751142 -0.0040219615300764065 5.438158642939887 256.53805552060743
9.65876574933152 1552.0237144849639 11.860427216018548 -0.003961248915632341 5.333496543202453 287.15203625759375
10.601158560587779 1551.4570877253586 10.03284523679994 -0.0034943706210388997 5.318621524848233 266.60443977542377
10.086723377983681 1552.173902836256 10.398301553608311 -0.003155060353588653 5.490704754449193 262.9071836320919
9.166091373301796 1552.1812682322409 11.014198644463612 -0.004981595744940084 5.422569811217313 253.06204967110247
10.00354467964146 1550.8676390677015 10.578837736697949 -0.00297769436819588 5.343148746162641 265.2661328632517
10.099408747127477 1552.1606989040492 10.917307083419447 -0.0033588415998552497 5.328653088577715 276.3766892353863
10.749034306925527 1551.8388977200293 9.372540999109853 -0.0036677690534328575 5.543847194049266 252.53218245286808
9.631737090017555 1552.501404629996 10.323858455677879 -0.0044208448768505385 5.361362867030003 249.25081969147658
10.855790113762305 1551.8906846272484 9.56512422927834 -0.004487757585973988 5.384930059360912 260.2807126399912
10.16301113798157 1551.7224329573735 9.48566346185027 -0.0044542937246976715 5.400184594445078 241.6462434538761
11.156610538806948 1551.6288339663147 9.010869161859901 -0.004384712253282637 5.646295480850029 251.9932401094674
10.214205879285052 1552.1674396273838 9.301478153464586 -0.004247444381918048 5.549738439468725 238.1477660015357
8.761811668005365 1552.028782524329 12.182823628833091 -0.003575103472996743 5.351799469169168 267.566541488035
10.071685292788903 1552.3206410465684 10.45943704366735 -0.004123463321738503 5.3882269049309786 264.0586456204996
10.547477497303618 1551.6495991233146 8.73344300492229 -0.005698648173373475 5.571149514118576 230.90005269862775
9.90200087864639 1551.7947203050267 10.648866045843157 -0.0036269804209072194 5.368853953180407 264.3116213112918
10.450675948644037 1552.1401131549296 10.151568216556349 -0.0020284354110914945 5.214704632845721 265.9300731299566
10.39672976906692 1552.498037622822 9.784052418862272 -0.004660732431087673 5.277707133473675 254.9796149531692
10.42622947198591 1551.5043418993025 10.093518229053068 -0.005088897454327071 5.225228303437541 263.7908850620842
9.050642692453202 1551.8513765041846 10.877360122056915 -0.004301469696089237 5.485847232576331 246.77028416946587
11.57153911986011 1553.042654559147 8.311365104891623 -0.003816968252701802 5.300157798184333 241.07569233804443
10.284528637656164 1552.279167718832 9.941899948821936 -0.003946004931429351 5.4209381617928125 256.2971130397247
10.67380240504779 1552.0531785061519 10.121061038426438 -0.0035054332138325286 5.202363299611591 270.7915680054944
9.99622117925101 1551.7856411115536 9.470240909646932 -0.0020777793313294214 5.5616916829880925 237.29403325805535
10.156950875299765 1552.15354968728 9.766583047716466 -0.004370346149285721 5.329756765943904 248.65427684268926
10.322596434344927 1552.2534868472042 9.596006921028499 -0.004948090489591859 5.3844680645763905 248.295835496012
8.925661217298444 1551.780512471718 9.95319754679303 -0.005713451425109366 5.622363735599436 222.68602175263825
9.748527811610405 1552.4237661328682 10.913115079659114 -0.0034284675820057827 5.2460138739995825 266.672175629795
10.095216202151384 1552.3662840968123 10.313153208343449 -0.0027959720856590665 5.20099930216155 260.97387135646505
11.108190794029849 1551.8710071353735 8.500386397067647 -0.005530756753454954 5.544582145014363 236.68565243721477
9.813485445324194 1551.7058507134961 10.23739198778935 -0.004228500895570101 5.48514790962956 251.82714945419582
8.640273095324977 1552.8120397895586 11.69907306086029 -0.004001052172631748 5.593568255993198 253.37797263874407
10.210184823353599 1552.0636411186706 11.67151344433837 -0.002644039245335005 5.22602776113664 298.71065386962465
10.491952845376396 1551.2406197811451 10.338643810280036 -0.003281089140297525 5.384811316933816 271.90039429626506
9.177338710315007 1552.250784931389 11.415987055067866 -0.003452996288737966 5.557085069213068 262.61538338705776
10.395404092362865 1552.137658364061 11.140185766510417 -0.00396149234956775 5.278748072784322 290.28443059566223
10.061434802387003 1552.631599173977 11.145170453745017 -0.002610613367211758 5.138145074168328 281.08428559893184
