A mu sigma m b MgII_flux
1.3182404249104973 2798.7728513533357 3.3674220642134975 -0.0011254478367307662 1.145078245290848 11.127103119566573
0.89872734796891 2804.4049659946163 60.89604729090052 -0.0008754707660253229 1.0306773433508787 137.18511617387296
2.0141997626076096 2796.6473882274513 2.601258769912442 -0.0015946729690406796 1.2248933496276808 13.133365537406664
0.5135121838392034 2807.128719301041 49.336328168188516 -0.0008084973000197173 1.0797790651598662 63.50494010000928
0.16073183015658765 2789.146654047948 15.354867204840883 -0.0010322165065980338 1.2570516606777806 6.1863984563431575
1.5410858230959472 2790.9820553307186 6.328667349819305 -0.0005279248262436856 1.205468524983236 24.44719452168075
1.8450851131568098 2794.386802365117 4.359956783197942 -0.000621401577750256 1.2004374061529481 20.164549484679505
0.6250614664005985 2799.0976185661298 15.944945634438184 -0.001252575612092205 1.164147296493846 24.982488920229173
1.5113301001928494 2798.552027083928 5.064746031248505 -0.00044638320196594924 1.1734394432391992 19.186993966034013
0.6906650760923706 2798.20083588351 45.49642274696457 -0.00102743799657339 1.1130562176255565 78.76525457979534
0.4439830373402238 2801.0011894388 11.883208408433646 -0.0011653243156602392 1.2073805381999776 13.22482780520124
1.3043921629889321 2794.781525618975 7.408121933979999 -0.0013732143373107856 1.1925267749952668 24.221790138228776
1.4044031870623956 2794.867201466021 7.499524753596724 -0.0008328859241204907 1.1943591713268897 26.400702514675707
1.090107066412354 2796.503780222515 7.263008254547959 -0.0009305544234669477 1.212094244611905 19.846120631102586
1.7633533752631412 2795.362509990316 5.368332791518138 -0.0006845860494846586 1.2277422873760204 23.72841439100901
0.46059065426524387 2806.6143758029384 53.02593659993388 -0.000681563552547905 1.1140563420218 61.2200110928708
0.5864756609335181 2797.7163217827765 71.56856621179627 -8.824847109654445e-05 1.0134896138223453 105.2112654715169
1.0390923465010302 2800.075165885502 6.940755356039336 -0.0004841475351171937 1.1585732725596682 18.078018108633156
0.6538722739077937 2803.3762058892235 66.36994111079906 -0.00042243903599973584 1.0897991976575307 108.78131109486857
0.6023268804140662 2806.0441478971848 55.28612594868521 -0.0005874435076053638 1.1016335471217247 83.47152309688138
0.4245126670501871 2796.093629951298 59.70114474084334 -0.0008282548393130907 1.1023095401371699 63.52771672729837
0.6597521670494131 2807.59954882054 55.081636175577756 -0.0008998652788804426 1.0922856621663357 91.09144509551027
0.4959326955833681 2796.648384123926 58.6288337067022 -8.033562397586355e-05 1.2183541044105153 72.88261226615637
0.9364032184526934 2795.081585115421 6.73979186816534 -0.000674775628071899 1.150785070804054 15.819739112888096
0.9389485027142089 2796.9641949790293 6.482797733814493 -0.0009903651676434473 1.208831564140419 15.257879459252033
