wave flux fluxerr
489.0236633327161 2.2237459937845134e-19 1.5477967528033738e-19
493.204382878066 1.515056772936826e-19 1.5086800946629393e-19
497.4823463341307 -1.1813529487088922e-19 1.404725069871429e-19
501.86010074663295 -6.160064935213335e-20 6.752238066635005e-20
506.3476387666791 -1.2995630944757296e-19 6.495423312759517e-20
510.94897728182286 -2.035301517076263e-19 6.475338018470557e-20
515.6592570839946 -2.0468495474601063e-19 5.994358442542644e-20
520.4808641890105 -8.853522160431253e-20 4.0590244499626327e-20
525.4295385424707 -8.441472993668346e-21 3.944581707610647e-20
530.5049430711326 -2.4793656791732534e-20 3.79167005206558e-20
535.7009838103108 -7.385466468466755e-20 3.6440785300071115e-20
541.0411311889504 -9.577612667866751e-20 3.4828839325135534e-20
546.5122945748823 -1.3671527438110445e-20 3.377212291388032e-20
552.1314191361478 -1.176310486144686e-19 3.281313634145524e-20
557.8936137147003 -5.599038155369859e-20 3.184378645576579e-20
563.815584046498 -5.654958929057819e-20 3.0431246275694126e-20
569.8877732539755 -3.582019893160631e-20 3.000411562068981e-20
576.1308823013426 -3.2347556290410674e-20 2.9371129772433406e-20
582.5412903220994 -1.3973491430696743e-20 2.884460218842924e-20
589.1223343960452 -1.2204454767239143e-20 2.7928415047017694e-20
595.8853926796274 -5.674773360009937e-20 2.740219763182731e-20
602.835620637452 -2.1662148024026364e-20 2.7180141823084804e-20
610.4465775647146 -8.651222481345008e-21 2.6387020465074172e-20
617.7992908790442 1.568088173647097e-20 2.582948594048344e-20
625.3546725188104 -1.3258291165135202e-20 2.492650783855841e-20
633.1184359511174 -4.175133862395813e-20 2.4165160805317395e-20
641.0983971272555 -5.800652519038748e-20 2.382880567964284e-20
649.3026660741123 -5.636201136617864e-20 2.310511439855778e-20
657.7316375998852 -8.474389964635585e-20 2.3149711104592985e-20
666.3888013592432 -1.0731329867672105e-19 2.2663989447320494e-20
675.2844483577605 -6.435046724270902e-20 2.2136817607889696e-20
684.423817395104 -2.920199001891505e-20 2.1353266379229356e-20
693.8046319880876 1.738086067776184e-21 2.0611128159516904e-20
703.4402134398551 -1.9599364891578612e-20 1.971483419804014e-20
713.3272220627229 -1.0184198319634429e-20 1.9490079704868596e-20
723.4673923791528 -7.259647710071243e-20 1.8657489791714614e-20
733.8718279121849 -1.79147290691217e-20 1.7768851171842653e-20
744.535741501862 -2.0073293695044896e-20 1.6930228583916578e-20
755.4601624947924 -2.496836284164461e-20 1.6050937748665428e-20
766.6458097864206 -1.543821167130962e-21 1.5614052423734454e-20
778.0920304741014 -1.374802000055095e-20 1.462681072554622e-20
789.7968632365278 -9.87735488734688e-21 1.4294527084741148e-20
801.757110682659 -1.0282089614652349e-20 1.3759512150531666e-20
813.97255429635 -2.2332480567023415e-20 1.308062781752033e-20
826.4363199131564 -2.478693319022854e-20 1.2480958259010867e-20
839.1398497404648 -3.1259718319781737e-20 1.1974076968474886e-20
852.0822223381483 -2.971949111804281e-20 1.1663685409031601e-20
865.2507105121927 -3.207217265342253e-20 1.1283077454647614e-20
878.6411904498615 -1.768380675511516e-20 1.0973869554289563e-20
892.2398613315034 -3.0735277695156994e-20 1.0544723901399726e-20
906.0416098916189 -1.5933153791330363e-20 1.0146176084785292e-20
920.0327042008131 -1.4566892780700318e-20 9.984501881550832e-21
934.2017197912805 -1.765348960565164e-20 9.570356580989734e-21
948.5373957708567 -3.9263616815667554e-20 9.187648448643504e-21
963.0283323715144 -4.49741025590166e-20 8.980195402821809e-21
977.6620811717031 -2.015461991110897e-20 8.860229720218606e-21
